id,name,page_name,store_link,price_list
REP-1779122064571,Amjed,flexora,https://www.instagram.com/flexora_a2z?utm_source=ig_web_button_share_sheet,"{TLS-0226-145:4,TYS-0226-135:3.5,TLS-0226-151:1.725,TLS-0226-150:1.1,TLS-0226-149:3.45,TLS-0226-148:0.35,TLS-0226-147:0.75,TLS-0226-146:0.8,ISLMC-0226-144:0.45,ISLMC-0226-143:7.48,ISLMC-0226-142:0.3,ISLMC-0226-141:1.5,ISLMC-0226-140:0.75,TLS-0226-139:4.45,TLS-0226-138:1.73,TLS-0226-137:3,TYS-0226-136:0.68,TLS-0226-133:2.64,TRND-0226-132:3.55,TYS-0126-130:0.38,TRND-1225-129:13.08,ELCD-1226-01-128:3.05,TLS-1226-01-127:2.7,TLS-1226-01-126:6,TLS-1226-01-125:2.7,TRND-1225-124:1.5,TRND-1225-123:1.2,PTSTLS-1225-122:4.2,PTSTLS-1225-121:3.15,PTSTLS-1225-120:33.6,PTSTLS-1225-119:4.65,PTSTLS-1225-118:3.5,PTSTLS-1225-117:7.45,PTSTLS-1225-115:4.85,PTSTLS-1225-114:0.38,PTSTLS-1225-113:3.75,PTSTLS-1225-112:1.58,PTSTLS-1225-111:0.68,PTSTLS-1225-110:9.56,PTSTLS-1225-109:0.68,PTSTLS-1225-108:1.28,PTSTLS-1225-107:5.8,PTSTLS-1225-106:3,PTSTLS-1225-105:4.55,PTSTLS-1225-104:2.7,PTSTLS-1225-103:14.48,PTSTLS-1225-102:4.8,PTSTLS-1225-101:5.2,PTSTLS-1225-099:2.94,PTSTLS-1225-098:3.1,PTSTLS-1225-097:14.96,PTSTLS-1225-096:4.4,PTSTLS-1225-095:3.3,PTSTLS-1225-093:5.75,PTSTLS-1225-092:5.42,PTSTLS-1225-090:9.84,PTSTLS-1225-089:0.68,PTSTLS-1225-088:3.35,PTSTLS-1225-087:3.35,PTSTLS-1225-086:8.32,PTSTLS-1225-085:0.68,PTSTLS-1225-084:1.73,PTSTLS-1225-082:3.8,PTSTLS-1225-081:2.1,PTSTLS-1225-080:3.15,PTSTLS-1225-079:10.52,PTSTLS-1225-077:6.64,PTSTLS-1225-076:2.64,PTSTLS-1225-075:2.88,PTSTLS-1225-074:3.42,PTSTLS-1225-073:7.12,PTSTLS-1225-071:11.48,PTSTLS-1225-070:4.6,PTSTLS-1225-069:1.5,PTSTLS-1225-068:1.2,PTSTLS-1225-067:10.28,PTSTLS-1225-066:0.45,PTSTLS-1225-065:1.5,PTSTLS-1225-064:3,PTSTLS-1225-063:3.95,PTSTLS-1225-062:0.53,PTSTLS-1225-061:1.43,PTSTLS-1225-060:4.5,PTSTLS-1225-059:7.24,PTSTLS-1225-058:1.05,PTSTLS-1225-057:44.04,PTSTLS-1225-056:7.2,PTSTLS-1225-055:1.05,PTSTLS-1225-054:7.05,PTSTLS-1225-053:3.12,PTSTLS-1225-052:2.22,PTSTLS-1225-051:6.72,PTSTLS-1225-050:0.38,PTSTLS-1225-049:6.65,PTSTLS-1225-048:4.5,PTSTLS-1225-047:15.24,PTSTLS-1225-046:8.6,PTSTLS-1225-045:13.32,PTSTLS-1225-044:7.96,PTSTLS-1225-043:3.7,PTSTLS-1225-042:2.94,PTSTLS-1225-041:2.1,PTSTLS-1225-040:2.4,PTSTLS-1225-039:3.8,PTSTLS-1225-038:7.12,PTSTLS-1225-037:0.68,PTSTLS-1225-036:9.2,PTSTLS-1225-035:22.68,PTSTLS-1225-034:3.12,PTSTLS-1225-033:9.8,PTSTLS-1225-032:4.8,PTSTLS-1225-031:3.25,PTSTLS-1225-030:4.25,PTSTLS-1225-029:3.42,PTSTLS-1225-028:2.03,PTSTLS-1225-027:2.28,PTSTLS-1225-026:0.83,PTSTLS-1225-025:4.3,PTSTLS-1225-024:2.18,PTSTLS-1225-023:3.54,PTSTLS-1225-022:4.6,PTSTLS-1225-021:0.98,PTSTLS-1225-020:11.16,PTSTLS-1225-019:3.55,PTSTLS-1225-018:4.75,PTSTLS-1225-017:1.13,PTSTLS-1225-016:5.2,PTSTLS-1225-015:3.65,PTSTLS-1225-014:5.05,PTSTLS-1225-013:5.05,PTSTLS-1225-012:1.05,PTSTLS-1225-011:1.65,JWHLD-1225-004:2.52,JWHLD-1225-002:14.68,JWHLD-1225-008:7.4,JWHLD-1225-009:6.55,JWHLD-1225-006:9.84,JWHLD-1225-010:4.55,JWHLD-1225-001:2.64,JWHLD-1225-007:2.48,JWHLD-1225-005:7.44,JWHLD-1225-011:1.05}"
REP-1779122078978,Abdullah,trendy-wave,https://www.facebook.com/profile.php?id=61589995402803,{}
REP-1779278034365,Omar,creative-rarities,https://www.instagram.com/creativerarities/,{}
